cardCount,name,symbol,logo,id
"{'total': 113, 'official': 105}",Neo Destiny,https://assets.tcgdex.net/univ/neo/neo4/symbol,https://assets.tcgdex.net/en/neo/neo4/logo,neo4
"{'total': 110, 'official': 110}",Legendary Collection,https://assets.tcgdex.net/univ/lc/lc/symbol,https://assets.tcgdex.net/en/lc/lc/logo,lc
"{'total': 10, 'official': 10}",Sample,https://assets.tcgdex.net/univ/ecard/sp/symbol,,sp
"{'total': 165, 'official': 165}",Expedition Base Set,https://assets.tcgdex.net/univ/ecard/ecard1/symbol,https://assets.tcgdex.net/en/ecard/ecard1/logo,ecard1
"{'total': 9, 'official': 9}",Best of game,https://assets.tcgdex.net/univ/ecard/bog/symbol,,bog
"{'total': 186, 'official': 147}",Aquapolis,https://assets.tcgdex.net/univ/ecard/ecard2/symbol,https://assets.tcgdex.net/en/ecard/ecard2/logo,ecard2
"{'total': 182, 'official': 144}",Skyridge,https://assets.tcgdex.net/univ/ecard/ecard3/symbol,https://assets.tcgdex.net/en/ecard/ecard3/logo,ecard3
"{'total': 109, 'official': 109}",Ruby & Sapphire,https://assets.tcgdex.net/univ/ex/ex1/symbol,https://assets.tcgdex.net/en/ex/ex1/logo,ex1
"{'total': 100, 'official': 100}",Sandstorm,https://assets.tcgdex.net/univ/ex/ex2/symbol,https://assets.tcgdex.net/en/ex/ex2/logo,ex2
"{'total': 40, 'official': 40}",Nintendo Black Star Promos,https://assets.tcgdex.net/univ/pop/np/symbol,https://assets.tcgdex.net/en/pop/np/logo,np
"{'total': 100, 'official': 97}",Dragon,https://assets.tcgdex.net/univ/ex/ex3/symbol,https://assets.tcgdex.net/en/ex/ex3/logo,ex3
"{'total': 97, 'official': 95}",Team Magma vs Team Aqua,https://assets.tcgdex.net/univ/ex/ex4/symbol,https://assets.tcgdex.net/en/ex/ex4/logo,ex4
"{'total': 102, 'official': 101}",Hidden Legends,https://assets.tcgdex.net/univ/ex/ex5/symbol,https://assets.tcgdex.net/en/ex/ex5/logo,ex5
"{'total': 10, 'official': 10}",EX trainer Kit (Latios),https://assets.tcgdex.net/univ/tk/tk-ex-latio/symbol,,tk-ex-latio
"{'total': 10, 'official': 10}",EX trainer Kit (Latias),https://assets.tcgdex.net/univ/tk/tk-ex-latia/symbol,,tk-ex-latia
"{'total': 5, 'official': 5}",Poké Card Creator Pack,,,ex5.5
"{'total': 17, 'official': 17}",POP Series 1,https://assets.tcgdex.net/univ/pop/pop1/symbol,https://assets.tcgdex.net/en/pop/pop1/logo,pop1
"{'total': 116, 'official': 112}",FireRed & LeafGreen,https://assets.tcgdex.net/univ/ex/ex6/symbol,https://assets.tcgdex.net/en/ex/ex6/logo,ex6
"{'total': 111, 'official': 109}",Team Rocket Returns,https://assets.tcgdex.net/univ/ex/ex7/symbol,https://assets.tcgdex.net/en/ex/ex7/logo,ex7
"{'total': 108, 'official': 107}",Deoxys,https://assets.tcgdex.net/univ/ex/ex8/symbol,https://assets.tcgdex.net/en/ex/ex8/logo,ex8
"{'total': 107, 'official': 106}",Emerald,https://assets.tcgdex.net/univ/ex/ex9/symbol,https://assets.tcgdex.net/en/ex/ex9/logo,ex9
"{'total': 17, 'official': 17}",POP Series 2,https://assets.tcgdex.net/univ/pop/pop2/symbol,https://assets.tcgdex.net/en/pop/pop2/logo,pop2
"{'total': 117, 'official': 115}",Unseen Forces,https://assets.tcgdex.net/univ/ex/ex10/symbol,https://assets.tcgdex.net/en/ex/ex10/logo,ex10
"{'total': 28, 'official': 28}",Unseen Forces Unown Collection,,,exu
"{'total': 114, 'official': 113}",Delta Species,https://assets.tcgdex.net/univ/ex/ex11/symbol,https://assets.tcgdex.net/en/ex/ex11/logo,ex11
"{'total': 93, 'official': 92}",Legend Maker,https://assets.tcgdex.net/univ/ex/ex12/symbol,https://assets.tcgdex.net/en/ex/ex12/logo,ex12
"{'total': 12, 'official': 12}",EX trainer Kit 2 (Plusle),https://assets.tcgdex.net/univ/tk/tk-ex-p/symbol,,tk-ex-p
"{'total': 12, 'official': 12}",EX trainer Kit 2 (Ninun),https://assets.tcgdex.net/univ/tk/tk-ex-n/symbol,,tk-ex-n
"{'total': 17, 'official': 17}",POP Series 3,https://assets.tcgdex.net/univ/pop/pop3/symbol,https://assets.tcgdex.net/en/pop/pop3/logo,pop3
"{'total': 111, 'official': 110}",Holon Phantoms,https://assets.tcgdex.net/univ/ex/ex13/symbol,https://assets.tcgdex.net/en/ex/ex13/logo,ex13
"{'total': 17, 'official': 17}",POP Series 4,https://assets.tcgdex.net/univ/pop/pop4/symbol,https://assets.tcgdex.net/en/pop/pop4/logo,pop4
"{'total': 100, 'official': 100}",Crystal Guardians,https://assets.tcgdex.net/univ/ex/ex14/symbol,https://assets.tcgdex.net/en/ex/ex14/logo,ex14
